Distretto,Codice,Nome,Indirizzo,Latitudine,Longitudine
1,TOCT71600T,CENTRO TERRITORIALE PERMANENTE - ISTRUZIONE IN ETA' ADULTA,"VIA MADAMA CRISTINA, 102 - TORINO",45.0471876,7.6753822
1,TOMM8B601L,I.C. FOSCOLO - FOSCOLO TO (ASSOCIATA A TOIC8B600G),VIA PIAZZI 57,45.0519167,7.6584688
1,TOMM8B501R,I.C. PACCHIOTTI - VIA REVEL TO (ASSOCIATA A TOIC8B500Q),VIA REVEL 8,45.0690878,7.6700245
1,TOMM815016,I.C. TOMMASEO - CALVINO (PAR. TEMPO PROL. - ASSOCIATA A TOIC815005),VIA SANT'OTTAVIO 7,45.067573,7.6928767
1,TOIC8B600G,ISTITUTO COMPRENSIVO - I.C. FOSCOLO - TO,VIA GIUSEPPE PIAZZI 57 - TORINO,45.0519167,7.6584688
1,TOIC8B500Q,ISTITUTO COMPRENSIVO - I.C. PACCHIOTTI/VIA REVEL - TO,VIA REVEL 8 - TORINO,45.0690878,7.6700245
1,TOIC815005,ISTITUTO COMPRENSIVO - I.C. TOMMASEO - TO,VIA DEI MILLE 15 - TORINO,45.0626752,7.6884505
1,TOMM079005,TO -UMBERTO I (CONVITTO NAZ.LE),VIA BLIGNY 1 BIS,45.0748161,7.6761052
2,TOCT701004,CENTRO TERRITORIALE PERMANENTE - ISTRUZIONE IN ETA' ADULTA,"VIA SAN REMO, 46 - VIA POMA, 14 - TORINO",,
2,TOMM8B3015,I.C. ALVARO GOBETTI - ALVARO (ASSOCIATA A TOIC8B3004),VIA BALLA 27 - TORINO,45.0474261,7.6247251
2,TOMM8BX01C,I.C. EZIO BOSSO - MODIGLIANI (ASSOCIATA A TOIC8BX00B),VIA COLLINO 4,45.0399196,7.6246498
2,TOMM8BY018,I.C. SINIGAGLIA - ADA NEGRI (ASSOCIATA A TOIC8BY007),VIA ADA NEGRI 23,45.0521792,7.6406621
2,TOMM8BZ014,IC ANTONELLI CASALEGNO-ANTONELL (PAR. TEMPO PROL. - ASSOCIATA A,VIA L. LANFRANCO 2 (EX V. FILADELFIA),,
2,TOMM8B001N,IC CADUTI DI CEFALONIA-MAZZINI (ASSOCIATA A TOIC8B000L),VIA BALTIMORA 110,45.0462899,7.637997
2,TOIC8B3004,ISTITUTO COMPRENSIVO - I.C. ALVARO/GOBETTI - TO,VIA ROMITA 19 - TORINO,45.0474224,7.6270439
2,TOIC8BZ003,ISTITUTO COMPRENSIVO - I.C. ANTONELLI/CASALEGNO - TO,VIA L. LANFRANCO 2 (EX V. FILADELFIA) - 5,,
2,TOIC8B000L,ISTITUTO COMPRENSIVO - I.C. CEFALONIA/MAZZINI - TO,VIA BALTIMORA 110 - TORINO,45.0462899,7.637997
2,TOIC8BX00B,ISTITUTO COMPRENSIVO - I.C. EZIO BOSSO,VIA COLLINO 12 - TORINO,45.0391616,7.6230778
2,TOIC8BY007,ISTITUTO COMPRENSIVO - I.C. SINIGAGLIA - TO,CORSO SEBASTOPOLI 258 - TORINO,45.0483242,7.6373571
3,TOCT70200X,CENTRO TERRITORIALE PERMANENTE - ISTRUZIONE IN ETA' ADULTA,"VIA DOMODOSSOLA, 54 - TORINO",45.0803343,7.6428721
3,TOCT721009,CENTRO TERRITORIALE PERMANENTE - ISTRUZIONE IN ETA' ADULTA,VIA VIGONE 63 - TORINO,45.0680048,7.6480565
3,TOMM32300Q,CPIA 1 TORINO - PAULO FREIRE,VIA DOMODOSSOLA 54,45.0803343,7.6428721
3,TOMM8AZ01D,I.C. ALBERTI SALGARI-ALBERTI (ASSOCIATA A TOIC8AZ00C),"VIA TOLMINO, 40",45.0572706,7.6440072
3,TOMM8CD01G,I.C. BARICCO - MARITANO (ASSOCIATA A TOIC8CD00E),VIA MARSIGLI 25,45.0706819,7.6283974
3,TOMM816012,I.C. KING - MILA (ASSOCIATA A TOIC816001),VIA GERMONIO 12,45.0729218,7.6109273
3,TOMM88401L,I.C. M. L. SPAZIANI - DROVETTI (ASSOCIATA A TOIC88400G),VIA BARDONECCHIA 34,45.0734157,7.6454416
3,TOMM8AY01N,I.C. PALAZZESCHI - PALAZZESCHI (PAR. TEMPO PROL. - ASSOCIATA A,"VIA LANCIA, 140 - 1",45.0610863,7.6417143
3,TOMM8CE01B,I.C. PEROTTI TOSCANINI-PEROTTI (ASSOCIATA A TOIC8CE00A),VIA TOFANE 22,45.066189,7.6349552
3,TOMM88301R,I.C. R.L. MONTALCINI-V.PALMIERI (ASSOCIATA A TOIC88300Q),VIA DUCHESSA JOLANDA 29 - TORINO,45.0755917,7.6573879
3,TOIC8AZ00C,ISTITUTO COMPRENSIVO - I.C. ALBERTI/SALGARI - TO,"VIA TOLMINO, 40 - TORINO",45.0572706,7.6440072
3,TOIC8CD00E,ISTITUTO COMPRENSIVO - I.C. BARICCO - TO,CORSO PESCHIERA 380 - TORINO,45.073968,7.6259999
3,TOIC816001,ISTITUTO COMPRENSIVO - I.C. KING/MILA - TO,VIA GERMONIO 12 - TORINO,45.0729218,7.6109273
3,TOIC88300Q,ISTITUTO COMPRENSIVO - I.C. LEVI MONTALCINI - TO,VIA PALMIERI 58 - TORINO,45.0717826,7.6595599
3,TOIC88400G,ISTITUTO COMPRENSIVO - I.C. MARIA LUISA SPAZIANI - TO,VIA LUSERNA DI RORA' 14 - TORINO,45.0673864,7.6477461
3,TOIC8AY00L,ISTITUTO COMPRENSIVO - I.C. PALAZZESCHI - TO,VIA LANCIA 140 - TORINO,45.062693,7.6282767
3,TOIC8CE00A,ISTITUTO COMPRENSIVO - I.C. PEROTTI/TOSCANINI - TO,VIA TOFANE 28 - TORINO,45.0664565,7.6338288
4,TOMM8BV01R,I.C. DUCA D'AOSTA - SCHWEITZER (ASSOCIATA A TOIC8BV00Q),VIA CAPELLI 66,45.0804298,7.6342223
4,TOMM8A0013,I.C. NIGRA - NIGRA (ASSOCIATA A TOIC8A0002),VIA BIANZE' 7,45.0781194,7.6547052
4,TOMM81701T,I.C. PACINOTTI - PACINOTTI (ASSOCIATA A TOIC81700R),VIA LE CHIUSE 80,45.0809912,7.6598119
4,TOMM8BW01L,I.C.ALIGHIERI KENNEDY-ALIGHIERI (ASSOCIATA A TOIC8BW00G),"VIA PACCHIOTTI, 80 - TORINO",45.0781789,7.6278154
4,TOIC8BW00G,ISTITUTO COMPRENSIVO - I.C. ALIGHIERI/KENNEDY - TO,"VIA PACCHIOTTI, 80 - TORINO",45.0781789,7.6278154
4,TOIC8BV00Q,ISTITUTO COMPRENSIVO - I.C. DUCA D'AOSTA - TO,VIA CAPELLI 51 - TORINO,45.0795162,7.6338978
4,TOIC8A0002,ISTITUTO COMPRENSIVO - I.C. NIGRA - TO,VIA BIANZE' 7 - TORINO,45.0781194,7.6547052
4,TOIC81700R,ISTITUTO COMPRENSIVO - I.C. PACINOTTI - TO,VIA LE CHIUSE 80 - TORINO,45.0809912,7.6598119
5,TOCT70300Q,CENTRO TERRITORIALE PERMANENTE - ISTRUZIONE IN ETA' ADULTA,"VIA DELLE PRIMULE, 36/B - TORINO",45.1024089,7.6264858
5,TOMM32400G,CPIA 2 TORINO - PIERO ANGELA,VIA BOLOGNA 153,45.0877402,7.7069605
5,TOMM8B101D,I.C. ALERAMO - VIA GUBBIO TO (ASSOCIATA A TOIC8B100C),VIA GUBBIO 47,45.0958586,7.6650113
5,TOMM810013,I.C. D.M. TUROLDO - TUROLDO (PAR. TEMPO PROL. - ASSOCIATA A,VIA MAGNOGLIE 9,,
5,TOMM8B2019,I.C. FRASSATI - P.G. FRASSATI (ASSOCIATA A TOIC8B2008),VIA TIRABOSCHI 33,45.0974457,7.6593679
5,TOMM873016,I.C. PADRE GEMELLI - POLA (PAR. TEMPO PROL. - ASSOCIATA A TOIC873005),VIA FOGLIZZO 15 - TORINO,45.0963118,7.649064
5,TOMM8BR014,I.C. PARRI - VIAN (PAR. TEMPO PROL. - ASSOCIATA A TOIC8BR003),"VIA STAMPINI, 25 - TORINO",45.109002,7.6631811
5,TOMM878019,I.C. UMBERTO SABA - SABA (PAR. TEMPO PROL. - ASSOCIATA A TOIC878008),VIA LORENZINI 4 - TORINO,45.0997883,7.6778651
5,TOMM879015,I.C.VIVALDI MURIALDO - VIVALDI (PAR. TEMPO PROL. - ASSOCIATA A,VIA CASTELDELFINO 24,45.0976479,7.6718845
5,TOIC8B100C,ISTITUTO COMPRENSIVO - I.C. ALERAMO - TO,"VIA LEMIE, 48 - TORINO",45.0961483,7.6663852
5,TOIC8B2008,ISTITUTO COMPRENSIVO - I.C. FRASSATI - TO,VIA TIRABOSCHI 33 - TORINO,45.0974457,7.6593679
5,TOIC8BR003,ISTITUTO COMPRENSIVO - I.C. PARRI/VIAN - TO,STRADA LANZO 147/11 - TORINO,45.1130987,7.6593269
5,TOIC878008,ISTITUTO COMPRENSIVO - I.C. SABA - TO,VIA LORENZINI 4 - TORINO,45.0997883,7.6778651
5,TOIC810002,ISTITUTO COMPRENSIVO - I.C. TUROLDO - TO,"VIA AMBROSINI, 1 - TORINO",45.1037651,7.6433537
5,TOIC879004,ISTITUTO COMPRENSIVO - I.C. VIVALDI/MURIALDO - TO,VIA CASTELDELFINO 24 - TORINO,45.09776,7.67196
6,TOCT70400G,CENTRO TERRITORIALE PERMANENTE - ISTRUZIONE IN ETA' ADULTA,"VIA BOLOGNA, 153 - TORINO",45.0877402,7.7069605
6,TOMM8CF017,I.C. BOBBIO NOVARO - BOBBIO (PAR. TEMPO PROL. - ASSOCIATA A,VIA SANTHIA' 76 - TORINO,45.094552,7.6992841
6,TOMM80501G,I.C. CENA - MARTIRI MARTINETTO (ASSOCIATA A TOIC80500E),STRADA S. MAURO 24,45.0996468,7.7258601
6,TOMM8B8018,I.C. GABELLI - VIA SCARLATTI (ASSOCIATA A TOIC8B8007),VIA SCARLATTI 13 - TORINO,45.0905446,7.6955347
6,TOMM808013,I.C. LEONARDO DA VINCI-FRANK (PAR. TEMPO PROL. - ASSOCIATA A,VIA DEGLI ABETI 13 - TORINO,45.1308809,7.7095111
6,TOIC8CF006,ISTITUTO COMPRENSIVO - I.C. BOBBIO/NOVARO - TO,VIA SANTHIA' 76 - TORINO,45.094552,7.6992841
6,TOIC80500E,ISTITUTO COMPRENSIVO - I.C. CENA - TO,STRADA SAN MAURO 32 - TORINO,45.0997455,7.7269988
6,TOIC808002,ISTITUTO COMPRENSIVO - I.C. DA VINCI/FRANK - TO,VIA DEGLI ABETI 13 - TORINO,45.1308809,7.7095111
6,TOIC8B8007,ISTITUTO COMPRENSIVO - I.C. GABELLI - TO,"VIA SANTHIA', 25 - TORINO",45.091032,7.6967601
7,TOCT70500B,CENTRO TERRITORIALE PERMANENTE - ISTRUZIONE IN ETA' ADULTA,"CORSO GIULIO CESARE, 26 - TORINO",45.1165998,7.7157153
7,TOMM71402E,"CASA CIRCONDARIALE ""LE VALLETTE"" (SEDE CARCERARIA)","VIA PIANEZZA, 300",45.1021205,7.6195213
7,TOMM87601N,I.C. GINO STRADA - ROSSELLI (ASSOCIATA A TOIC87600L),VIA RICASOLI 15 - TORINO,45.0704537,7.7062935
7,TOMM8BE01R,I.C. TORINO II - MORELLI - TO (PAR. TEMPO PROL. - ASSOCIATA A,"VIA CECCHI, 18",45.0857417,7.6824102
7,TOMM81801N,I.C. GOZZI OLIVETTI - OLIVETTI (PAR. TEMPO PROL. - ASSOCIATA A,VIA BARDASSANO 5 - TORINO,45.0671747,7.7119459
7,TOMM8BD011,I.C. ILARIA ALPI - CROCE (PAR. TEMPO PROL. - ASSOCIATA A TOIC8BD00X),CORSO NOVARA 26,45.0870173,7.6917587
7,TOMM87701D,I.C. REGIO PARCO-GIACOSA/VERGA (PAR. TEMPO PROL. - ASSOCIATA A,CORSO REGIO PARCO 19 - TORINO,45.0770736,7.6944924
7,TOIC8BD00X,ISTITUTO COMPRENSIVO - I.C. ALPI/TORINO I - TO,CORSO NOVARA 26 - TORINO,45.0870173,7.6917587
7,TOIC87700C,ISTITUTO COMPRENSIVO - I.C. CORSO REGIO PARCO - TO,CORSO REGIO PARCO 19 - TORINO,45.0770736,7.6944924
7,TOIC87600L,ISTITUTO COMPRENSIVO - I.C. GINO STRADA - TORINO,VIA RICASOLI 30 - TORINO,45.0719601,7.7052082
7,TOIC81800L,ISTITUTO COMPRENSIVO - I.C. GOZZI/OLIVETTI - TO,VIA BARDASSANO 5 - TORINO,45.0671747,7.7119459
7,TOIC87500R,ISTITUTO COMPRENSIVO - I.C. MARCONI-ANTONELLI - TO,VIA ASIGLIANO VERCELLESE 10 - TORINO,45.0759429,7.7247484
7,TOIC8BE00Q,ISTITUTO COMPRENSIVO - I.C. TORINO II - TO,CORSO GIULIO CESARE 26 - TORINO,45.0830438,7.6879677
7,TOMM87501T,MARCONI (ASSOCIATA A TOIC87500R),VIA ASIGLIANO VERCELLESE 10,45.0759429,7.7247484
7,TOMM86401B,"SCUOLA ""A.SPINELLI"" (ASSOCIATA A TOIC86400A)",CORSO TORTONA N 41 - TORINO,45.0751025,7.7048221
8,TOMM8CA014,I.C. BRUNO CACCIA - NIEVO (ASSOCIATA A TOIC8CA003),VIA MENTANA 14 - TORINO,45.0552629,7.6934884
8,TOMM81901D,I.C. MANZONI - MANZONI (ASSOCIATA A TOIC81900C),VIA GIACOSA 25,45.0547569,7.6821921
8,TOIC8CA003,ISTITUTO COMPRENSIVO - I.C. BRUNO CACCIA - TO,VIA MENTANA 14 - TORINO,45.0552629,7.6934884
8,TOIC81900C,ISTITUTO COMPRENSIVO - I.C. MANZONI - TO,"CORSO MARCONI, 28 - TORINO",45.055481,7.6815594
